Station_ID,Station Name,Latitude,Longitude,Total
40010,Austin-Forest Park,41.870717,-87.777028,8387749
40020,Harlem-Lake,41.886908,-87.803492,17011221
40030,Pulaski-Lake,41.88532,-87.72532,8042668
40040,Quincy/Wells,41.8788778,-87.633831,30787641
40050,Davis,42.04782,-87.683741,18387169
40060,Belmont-O'Hare,41.938991,-87.712331,22477068
40070,Jackson/Dearborn,41.878732,-87.629202,33284280
40080,Sheridan,41.953852,-87.654932,24077583
40090,Damen-Brown,41.966367,-87.678666,9483567
40100,Morse,42.008245,-87.665957,20938770
40120,35th/Archer,41.829503,-87.680809,12114293
40130,51st,41.802018,-87.618624,5326988
40140,Skokie,42.039459,-87.752277,9962837
40150,Pulaski-Cermak,41.853821,-87.724388,4126610
40160,LaSalle/Van Buren,41.876846,-87.631765,12374016
40170,Ashland-Lake,41.885167,-87.667102,9815302
40180,Oak Park-Forest Park,41.871992,-87.791462,7282887
40190,Sox-35th-Dan Ryan,41.831056,-87.63068,21433255
40200,Randolph/Wabash,41.884488,-87.626306,31122025
40210,Damen-Cermak,41.854534,-87.675938,4944586
40220,Western-Forest Park,41.875442,-87.688227,6576751
40230,Cumberland,41.983598,-87.839008,22387656
40240,79th,41.750723,-87.625267,35992565
40250,Kedzie-Homan-Forest Park,41.87419,-87.706113,8906956
40260,State/Lake,41.885718,-87.62798,41985463
40270,Main,42.033327,-87.679443,5693828
40280,Central-Lake,41.887387,-87.765452,11042455
40290,Ashland/63rd,41.778593,-87.663665,8027246
40300,Indiana,41.821932,-87.621586,3820688
40310,Western-Orange,41.804708,-87.68405,15789882
40320,Division/Milwaukee,41.903702,-87.667493,23724480
40330,Grand/State,41.891688,-87.628148,51207210
40340,Berwyn,41.977918,-87.658641,16441068
40350,UIC-Halsted,41.875383,-87.649139,22343940
40360,Southport,41.943762,-87.663575,12722613
40370,Washington/Dearborn,41.883235,-87.62975,40756126
40380,Clark/Lake,41.885734,-87.631402,74638578
40390,Forest Park,41.873815,-87.817426,17254474
40400,Noyes,42.058154,-87.68339,3281233
40420,Cicero-Cermak,41.851823,-87.745276,5025479
40430,Clinton-Forest Park,41.875333,-87.641148,13350890
40440,California-Cermak,41.85408,-87.694767,5054340
40450,95th/Dan Ryan,41.722302,-87.624373,60058950
40460,Merchandise Mart,41.888988,-87.634069,25563891
40470,Racine,41.875796,-87.659605,10176667
40480,Cicero-Lake,41.886517,-87.744531,6699156
40490,Grand/Milwaukee,41.89123,-87.64788,8427845
40500,Washington/State,41.88317,-87.627708,14293378
40510,Garfield-South Elevated,41.795109,-87.618218,8002585
40520,Foster,42.054171,-87.683688,3608780
40530,Diversey,41.932801,-87.653275,21707803
40540,Wilson,41.965466,-87.657944,27026001
40550,Irving Park-O'Hare,41.952811,-87.729275,18781070
40560,Jackson/State,41.877422,-87.627528,49635205
40570,California/Milwaukee,41.92197,-87.696913,17724953
40580,54th/Cermak,41.851735,-87.757149,8318233
40590,Damen/Milwaukee,41.910073,-87.67791,24850896
40600,Kostner,41.85373,-87.733322,1773309
40610,Ridgeland,41.88718,-87.783439,5908622
40630,Clark/Division,41.903843,-87.63289,35754728
40640,Madison/Wabash,41.882125,-87.626277,23389907
40650,North/Clybourn,41.910705,-87.648921,23609851
40660,Armitage,41.918351,-87.652794,17234917
40670,Western/Milwaukee,41.915901,-87.687173,19582719
40680,Adams/Wabash,41.879412,-87.626191,34108166
40690,Dempster,42.0416,-87.68166,3890807
40700,Laramie,41.887052,-87.754788,6440283
40710,Chicago/Franklin,41.896467,-87.635943,23680695
40720,East 63rd-Cottage Grove,41.780488,-87.605886,6345259
40730,Washington/Wells,41.882587,-87.633925,28852014
40740,Western-Cermak,41.854412,-87.685088,4174954
40750,Harlem-O'Hare,41.87338,-87.806596,12749237
40760,Granville,41.993795,-87.659125,18062952
40770,Lawrence,41.969143,-87.658417,15235945
40780,Central Park,41.854012,-87.715047,4045911
40790,Monroe/Dearborn,41.881024,-87.629302,26568613
40800,Sedgwick,41.910382,-87.638783,15355359
40810,Medical Center,41.875419,-87.674928,12551925
40820,Rosemont,41.983561,-87.859337,24675164
40830,18th,41.857841,-87.6692,6647370
40840,South Boulevard,42.027529,-87.678394,3639442
40850,Library,41.876771,-87.628813,15769378
40870,Francisco,41.966112,-87.701399,5686144
40880,Thorndale,41.990213,-87.65905,13795571
40890,O'Hare Airport,41.977541,-87.904193,48855290
40900,Howard,42.01876,-87.672485,29937740
40910,63rd-Dan Ryan,41.780393,-87.605901,16130814
40920,Pulaski-Forest Park,41.873641,-87.725586,7680339
40930,Midway Airport,41.786755,-87.7378,40351187
40940,Halsted/63rd,41.778721,-87.644097,3871965
40960,Pulaski-Orange,41.80004,-87.724044,22522563
40970,Cicero-Forest Park,41.871661,-87.745334,5902669
40980,Harlem-Forest Park,41.873248,-87.806743,4573119
40990,69th,41.768817,-87.625882,28169279
41000,Cermak-Chinatown,41.853462,-87.631199,18962497
41010,Rockwell,41.96612,-87.694039,6926611
41020,Logan Square,41.929587,-87.70771,26602138
41030,Polk,41.871402,-87.669453,12781924
41040,Kedzie-Cermak,41.854142,-87.705944,3455436
41050,Linden,42.073546,-87.690827,4987364
41060,Ashland-Orange,41.839311,-87.665451,6898134
41070,Kedzie-Lake,41.88214,-87.706042,6443110
41080,47th-South Elevated,41.809099,-87.618948,6241988
41090,Monroe/State,41.880202,-87.627575,39146846
41120,35-Bronzeville-IIT,41.831903,-87.626003,10475315
41130,Halsted-Orange,41.846829,-87.648134,11595831
41140,King Drive,41.780024,-87.615703,3171626
41150,Kedzie-Midway,41.804453,-87.704448,13869717
41160,Clinton-Lake,41.885518,-87.641648,14373767
41170,Garfield-Dan Ryan,41.795287,-87.631211,18986695
41180,Kedzie-Brown,41.966072,-87.708427,8572673
41190,Jarvis,42.015911,-87.669204,7319266
41200,Argyle,41.973356,-87.658537,13491124
41210,Wellington,41.936195,-87.653412,11204691
41220,Fullerton,41.92516,-87.652804,56394037
41230,47th-Dan Ryan,41.810234,-87.631071,14431192
41240,Addison-O'Hare,41.947242,-87.719044,11959865
41250,Central-Evanston,42.063901,-87.685597,4144290
41260,Austin-Lake,41.887332,-87.773976,9246596
41270,43rd,41.816438,-87.619182,4582527
41280,Jefferson Park,41.969782,-87.761892,29678895
41290,Kimball,41.9675,-87.71303,17875183
41300,Loyola,42.001183,-87.661082,25305871
41310,Paulina,41.943595,-87.670752,10613971
41320,Belmont-North Main,41.939735,-87.653275,57200501
41330,Montrose-O'Hare,41.961334,-87.743653,9458414
41340,LaSalle,41.875626,-87.631462,11697243
41350,Oak Park-Lake,41.887076,-87.79375,7119451
41360,California-Lake,41.884205,-87.69608,4713917
41380,Bryn Mawr,41.98346,-87.658844,22377490
41400,Roosevelt,41.867265,-87.62689,45434628
41410,Chicago/Milwaukee,41.89622,-87.654929,14978195
41420,Addison-North Main,41.947455,-87.653695,39758883
41430,87th,41.73527,-87.624819,23234082
41440,Addison-Brown,41.94693,-87.674687,9372250
41450,Chicago/State,41.896548,-87.628472,70957061
41460,Irving Park-Brown,41.954427,-87.675053,11268922
41480,Western-Brown,41.966184,-87.688374,17535508
41490,Harrison,41.874163,-87.627359,16907497
41500,Montrose-Brown,41.961724,-87.67504,10433754
41510,Morgan-Lake,41.885502,-87.651975,2523627
41580,Homan,41.884914,-87.711327,27
41660,Lake/State,41.884919,-87.627905,71721800
41670,Conservatory,41.884797,-87.716609,3744790
41680,Oakton-Skokie,42.02625,-87.747173,942567
41690,Cermak-McCormick Place,41.852615,-87.626211,450015